PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
59;884086;GIFT WRAP HMK HWC PURPLE PAISLEY 11884086;1;29.50;29.5;6.62;6.62
60;884665;GIFT WRAP HMK HWC RED WITH GOLD INK 11884665;1;32.50;32.5;10.91;10.9
61;884725;GIFT WRAP HMK HWC NEON BLUE DAMASK 11884725;1;56.50;56.5;19.6;19.6
62;884735;GIFT WRAP HMK HWC NEON PURPLE DAMASK 11884735;1;56.50;56.5;19.6;19.6
63;884805;GIFT WRAP HMK HWC CREAM STRIPES 11884805;1;46.50;46.5;16.02;16.02
64;884825;GIFT WRAP HMK HWC COPPER STRIPES 11884825;1;46.50;46.5;16.02;16.02
65;884955;GIFT WRAP HMK HWC BLUE WHITE STRIPES 11884955;1;56.50;56.5;18.78;18.78
66;939447;GIFT BAG HMK PB EMB RED BIG 11939447;1;79.50;79.5;26.06;26.06
67;260036;GIFT WRAP HMK EW FOR HER 11260036;1;13.50;13.5;3.45;3.45
68;642308;GIFT WRAP HMK NKEW DORA WHAT A PARTY 91642308;1;13.50;13.5;3.2;3.2
69;642298;GIFT WRAP HMK NKEW DORA WHAT A MAGIC TRICK 91642298;1;13.50;13.5;3.2;3.2
70;864657;GIFT WRAP HMK DEW BALLOONS 81864657;1;13.50;13.5;3.2;3.2
71;864667;GIFT WRAP HMK DEW NATURE 81864667;1;13.50;13.5;3.2;3.2
72;864647;GIFT WRAP HMK DEW JIGSAW 81864647;1;13.50;13.5;3.2;3.2
73;868559;GIFT WRAP HMK DEW LOVELY AND SWEET 81868559;1;13.50;13.5;3.2;3.2
74;868589;GIFT WRAP HMK DEW PRINCESS SWIRLS 81868589;1;13.50;13.5;3.2;3.2
75;868569;GIFT WRAP HMK DEW PRINCESSES DREAM 81868569;1;13.50;13.5;3.2;3.2
76;642328;GIFT WRAP HMK NKEW DORA LETS DRESS UP;1;13.50;13.5;3.2;3.2
77;171032;GIFT WRAP HMK EW ADUEW PINK AND TURQUOISE MATRYOSHKA 11171032;1;13.50;13.5;3.3;3.3
78;260153;GIFT WRAP HMK EW WEDDING 11260153;2;13.50;27;6.36;6.36
79;171042;GIFT WRAP HMK EW ADUEW LTPINK AND BROWN MATRYOSHKA 11171042;1;13.50;13.5;3.3;3.3
80;884267;GIFT WRAP HMK HWC MINT GREEN CHEVRON 11884267 MM;1;19.75;19.75;6.75;6.75
81;884655;GIFT WRAP HMK HWC PINK WITH GOLD INK 11884655;1;32.50;32.5;10.91;10.9
82;884785;GIFT WRAP HMK HWC BEIGE FLOWER GARDEN 11884785;1;65.50;65.5;22.9;22.9
83;884755;GIFT WRAP HMK HWC BROWN DAMASK 11884755;1;56.50;56.5;19.6;19.6
84;884815;GIFT WRAP HMK HWC BROWN AND BLUE STRIPES 11884815;1;46.50;46.5;16.02;16.02
85;884016;GIFT WRAP HMK HWC FLOWERS YELLOW BG 11884016;1;29.50;29.5;6.62;6.62
86;769021;GIFT WRAP HMK EGEW BIRDS WITH DOTS 11769021;2;13.50;27;6.9;6.9
87;769011;GIFT WRAP HMK EGEW FLOWER BUDS WITH DARK BRWN BG  11769011;2;13.50;27;6.9;6.9
88;769041;GIFT WRAP HMK EGEW AQUA FLOWERS WITH LIGHT BROWN BG 11769041;4;13.50;54;13.8;13.8
89;856410;GIFT WRAP HMK DEW MICKEY YAHOO;1;13.50;13.5;3.1;3.1
90;905031;GIFT WRAP HMK DEW MARIE FLORAL;1;13.50;13.5;3.1;3.1
91;856420;GIFT WRAP HMK DEW MICKEY ICONS;1;13.50;13.5;3.1;3.1
92;856400;GIFT WRAP HMK DEW MINNIE DOTS;1;13.50;13.5;3.1;3.1
93;856390;GIFT WRAP HMK DEW MINNIE SQUARES;1;13.50;13.5;3.1;3.1
94;905041;GIFT WRAP HMK DEW MARIE DOTS;1;13.50;13.5;3.1;3.1
95;876021;GIFT WRAP HMK DEW STITCHANDANGEL FLRL;1;13.50;13.5;3.1;3.1
96;868519;GIFTWRAP HMK DEW PRNCES SUMR PALACE;1;13.50;13.5;3.2;3.2
97;635220;GIFTWRAP HMK NKEW SB FLOWERS;1;13.50;13.5;3.2;3.2
98;635210;GIFTWRAP HMK NKEW SB SAILNG PATRICK;1;13.50;13.5;3.2;3.2
99;884225;GIFT WRAP HMK HWC GREEN SWIRLS 11884225;1;32.50;32.5;8.87;8.87
100;171012;GIFT WRAP HMK EW ADUEW PURPLE MATRYOSHKA 11171012;1;13.50;13.5;3.3;3.3
101;642318;GIFT WRAP HMK NKEW DORA ITS A MASQUERADE 91642318;1;13.50;13.5;3.2;3.2
102;884205;GIFT WRAP HMK HWC RED SWIRLS 11884205;1;32.50;32.5;8.87;8.87
103;884215;GIFT WRAP HMK HWC BLUE SWIRLS 11884215;1;32.50;32.5;8.87;8.87
104;884661;GIFTWRAP HMK HWC RED METALLIC;1;17.75;17.75;7.31;7.31
105;425024;GIFT WRAP HMK XW FORMAL 12425024;3;13.50;40.5;8.2;12.3
106;425124;GIFT WRAP HMK XW FORMAL LETTERING 12425124;2;13.50;27;8.2;8.2
107;425414;GIFT WRAP HMK XW CONTEMPORARY 12425414;1;13.50;13.5;3.1;3.1
108;425194;GIFT WRAP HMK XW JUVENILE 12425194;1;13.50;13.5;3.9;3.9
109;425104;GIFT WRAP HMK XW FORMAL LETTERING 12425104;1;13.50;13.5;4.1;4.1
110;425054;GIFT WRAP HMK XW FORMAL 12425054;1;13.50;13.5;4.1;4.1
111;425064;GIFT WRAP HMK XW FORMAL 12425064;1;13.50;13.5;4.1;4.1
112;425114;GIFT WRAP HMK XW FORMAL LETTERING 12425114;1;13.50;13.5;4.1;4.1
113;425144;GIFT WRAP HMK XW JUVENILE 12425144;1;13.50;13.5;3.9;3.9
114;425014;GIFT WRAP HMK XW FORMAL 12425014;1;13.50;13.5;4.1;4.1
115;425224;GIFT WRAP HMK XW JUVENILE 12425224;1;13.50;13.5;3.9;3.9
116;425424;GIFT WRAP HMK XW CONTEMPORARY 12425424;1;13.50;13.5;3.1;3.1
117;425134;GIFT WRAP HMK XW FORMAL LETTERING 12425134;1;13.50;13.5;3.9;3.9
118;884715;GIFT WRAP HMK HWC KRAFT GOLD 11884715;1;19.75;19.75;7.48;7.48
119;260203;GIFT WRAP HMK EW WEDDING 11260203;2;13.50;27;7.1;7.1
120;260273;GIFT WRAP HMK EW WEDDING 11260273;1;13.50;13.5;3.18;3.18
121;884595;GIFT WRAP HMK HWC BDAY PHRASES 11884595;1;35.50;35.5;11.6;11.6
122;884387;GIFT WRAP HMK HWC BLUE SCROLL 11884387;1;29.50;29.5;6.62;6.62
123;260453;GIFT WRAP HMK EW WEDDING 11260453;1;13.50;13.5;3.18;3.18
124;884185;GIFT WRAP HMK HWC RED FLOWERS 11884185;1;32.50;32.5;11.35;11.34
125;884175;GIFT WRAP HMK HWC GREEN FLOWERS 11884175;1;32.50;32.5;11.35;11.34
126;884195;GIFT WRAP HMK HWC BLUE FLOWERS 11884195;1;32.50;32.5;11.35;11.34
127;884165;GIFT WRAP HMK HWC VIOLET FLOWERS 11884165;1;32.50;32.5;11.35;11.34
128;884974;GIFT WRAP HMK HWC AQUA BLUE WAVES AND CIRCLES 11884974;1;52.50;52.5;18.4;18.4
129;884934;GIFT WRAP HMK HWC VIOLET FLORAL HMADE 11884934;1;44.50;44.5;17.35;17.34
130;884924;GIFT WRAP HMK HWC GREEN FLORAL HMADE 11884924;1;44.50;44.5;17.35;17.34
131;884914;GIFT WRAP HMK HWC BLUE FLORAL HMADE 11884914;1;44.50;44.5;17.35;17.34
132;884944;GIFT WRAP HMK HWC BROWN FLORAL HMADE 11884944;1;44.50;44.5;17.35;17.34
133;884255;GIFT WRAP HMK HWC AQUA BLUE CHECKERED 11884255;1;32.50;32.5;8.87;8.87
134;884245;GIFT WRAP HMK HWC DK BLUE CHECKERED 11884245;1;32.50;32.5;8.87;8.87
135;884235;GIFT WRAP HMK HWC RED CHECKERED 11884235;1;32.50;32.5;8.87;8.87
136;641032;GIFT BAG HMK EGHB LARGE BAG AUTUMN GRUNGE 11641032;1;65.00;65;14.95;14.95
137;272020;GIFT BAG HMK BYHB GREEN DIAMOND 11272020;1;59.50;59.5;16;16
138;758364;GIFT BAG HMK XHB SML 1 COLOR 12758364;62;39.50;2449;26.82;554.28
139;629015;GIFT BAG HMK HB TINY FEMININE FLORAL 11629015;2;24.50;49;10.92;10.92
140;641021;GIFTBAG HMK EGHB LRGBAG WFUCH FOIL;1;32.50;32.5;21;21
141;528084;GIFT WRAP ROLL HMK 3IN LP 12528084;1;21.75;21.75;7.68;7.68
142;629195;GIFT BAG HMK HB BIG PINK VICTORIAN 11629195;1;52.50;52.5;13.86;13.86
143;758234;GIFT BAG HMK XHB TINY 1 COLOR 12758234;3;22.50;67.5;10.46;15.69
144;629476;GIFT BAG HMK HB MINI FOR HIM 11629476;1;32.50;32.5;7;7
145;939208;GIFT BAG HMK PB YGREEN DOTS RIB BIG 11939208;11;52.50;577.5;18.7;205.7
146;939228;GIFT BAG HMK PB PINK FLOWER RIB BIG 11939228;1;52.50;52.5;18.7;18.7
147;939448;GIFT BAG HMK PB APPLE GREEN SOLID LRG 11939448;1;37.00;37;10.61;10.6
148;939118;GIFT BAG HMK PB ORANGE FLORAL EMB MED 11939118;1;63.00;63;22.43;22.43
149;276035;CARD HMK LGC BIRTHDAY WISHES FOR A 11276035;1;105.00;105;39.7;39.7
150;213038;CARD HMK W HEADS IN THE CLOUDS 11213038;1;46.50;46.5;2.07;2.06
151;068158;CARD HMK B OUR LOVE IS SPECIAL BABY 11068158;1;59.00;59;1.86;1.86
152;939418;GIFT BAG HMK PB YELLOW SOLID LRG 11939418;4;37.00;148;10.61;42.42
153;939325;GIFT BAG HMK PB PURPLE WITH FLOWERS SML 11939325;1;24.50;24.5;13;13
154;742032;GIFT BAG HMK XGRB MAY THE WONDERFUL...12-742032;1;29.50;29.5;8.78;8.78
155;952031;CARD HMK CB TODAY ANYTHING 11952031;1;159.50;159.5;33.95;33.95
156;699293;CRAFT EASY ART SET CE PINK SATCHEL AND PURSE PAPER ART 41699293;1;80.00;80;26.76;26.76
;;;249;;7888.5;;2145.31
